#Barrel_EC	Layer_Disk	Phi_module	Eta_module	ROBID	RODID	40FMT	40Link	80FMT	80Link	DCS Geographical ID
0	0	0	-22	16001	16001	0	0	0	1	L0_S0_M22C
0	0	0	-21	16001	16001	0	2	0	3	L0_S0_M21C
0	0	0	-20	16001	16001	0	4	0	5	L0_S0_M20C
0	0	0	-19	16001	16001	0	6	0	7	L0_S0_M19C
0	0	0	-18	16001	16001	0	8	0	9	L0_S0_M18C
0	0	0	-17	16001	16001	0	A	0	B	L0_S0_M17C
0	0	0	-16	16001	16001	0	C	0	D	L0_S0_M16C
0	0	0	-15	16001	16001	0	E	0	F	L0_S0_M15C
0	0	0	-14	16001	16001	1	1	1	0	L0_S0_M14C
0	0	0	-13	16001	16001	1	3	1	2	L0_S0_M13C
0	0	0	-12	16001	16001	1	5	1	4	L0_S0_M12C
0	0	0	-11	16001	16001	1	7	1	6	L0_S0_M11C
0	0	0	-10	16001	16001	1	9	1	8	L0_S0_M10C
0	0	0	-9	16001	16001	1	B	1	A	L0_S0_M9C
0	0	0	-8	16001	16001	1	D	1	C	L0_S0_M8C
0	0	0	-7	16001	16001	1	F	1	E	L0_S0_M7C
0	0	0	-6	16001	16001	2	1	2	0	L0_S0_M6C
0	0	0	-5	16001	16001	2	3	2	2	L0_S0_M5C
0	0	0	-4	16001	16001	2	5	2	4	L0_S0_M4C
0	0	0	-3	16001	16001	2	7	2	6	L0_S0_M3C
0	0	0	-2	16001	16001	2	9	2	8	L0_S0_M2C
0	0	0	-1	16001	16001	2	B	2	A	L0_S0_M1C
0	0	0	1	16001	16001	2	D	2	C	L0_S0_M1A
0	0	0	2	16001	16001	2	F	2	E	L0_S0_M2A
0	0	0	3	16001	16001	3	1	3	0	L0_S0_M3A
0	0	0	4	16001	16001	3	3	3	2	L0_S0_M4A
0	0	0	5	16001	16001	3	5	3	4	L0_S0_M5A
0	0	0	6	16001	16001	3	7	3	6	L0_S0_M6A
0	0	0	7	16001	16001	3	9	3	8	L0_S0_M7A
0	0	0	8	16001	16001	3	B	3	A	L0_S0_M8A
0	0	0	9	16001	16001	3	D	3	C	L0_S0_M9A
0	0	0	10	16001	16001	3	F	3	E	L0_S0_M10A
0	0	0	11	16001	16001	4	1	4	0	L0_S0_M11A
0	0	0	12	16001	16001	4	3	4	2	L0_S0_M12A
0	0	0	13	16001	16001	4	5	4	4	L0_S0_M13A
