#Barrel_EC	Layer_Disk	Phi_module	Eta_module	ROBID	RODID	40FMT	40Link	80FMT	80Link	DCS Geographical ID
0	0	0	-11	16001	16001	0	0	0	1	L0_S0_M11C
0	0	0	-10	16001	16001	0	2	0	3	L0_S0_M10C
0	0	0	-9	16001	16001	0	4	0	5	L0_S0_M9C
0	0	0	-8	16001	16001	0	6	0	7	L0_S0_M8C
0	0	0	-7	16001	16001	0	8	0	9	L0_S0_M7C
0	0	0	-6	16001	16001	0	A	0	B	L0_S0_M6C
0	0	0	-5	16001	16001	0	C	0	D	L0_S0_M5C
0	0	0	-4	16001	16001	0	E	0	F	L0_S0_M4C
0	0	0	-3	16001	16001	1	1	1	0	L0_S0_M3C
0	0	0	-2	16001	16001	1	3	1	2	L0_S0_M2C
0	0	0	-1	16001	16001	1	5	1	4	L0_S0_M1C
0	0	0	1	16001	16001	1	7	1	6	L0_S0_M1A
0	0	0	2	16001	16001	1	9	1	8	L0_S0_M2A
0	0	0	3	16001	16001	1	B	1	A	L0_S0_M3A
0	0	0	4	16001	16001	1	D	1	C	L0_S0_M4A
0	0	0	5	16001	16001	1	F	1	E	L0_S0_M5A
0	0	0	6	16001	16001	2	1	2	0	L0_S0_M6A
0	0	0	7	16001	16001	2	3	2	2	L0_S0_M7A
0	0	0	8	16001	16001	2	5	2	4	L0_S0_M8A
0	0	0	9	16001	16001	2	7	2	6	L0_S0_M9A
0	0	0	10	16001	16001	2	9	2	8	L0_S0_M10A
0	0	0	11	16001	16001	2	B	2	A	L0_S0_M11A
0	0	1	-11	16002	16002	0	0	0	1	L0_S1_M11C
0	0	1	-10	16002	16002	0	2	0	3	L0_S1_M10C
0	0	1	-9	16002	16002	0	4	0	5	L0_S1_M9C
0	0	1	-8	16002	16002	0	6	0	7	L0_S1_M8C
0	0	1	-7	16002	16002	0	8	0	9	L0_S1_M7C
0	0	1	-6	16002	16002	0	A	0	B	L0_S1_M6C
0	0	1	-5	16002	16002	0	C	0	D	L0_S1_M5C
0	0	1	-4	16002	16002	0	E	0	F	L0_S1_M4C
0	0	1	-3	16002	16002	1	1	1	0	L0_S1_M3C
0	0	1	-2	16002	16002	1	3	1	2	L0_S1_M2C
0	0	1	-1	16002	16002	1	5	1	4	L0_S1_M1C
0	0	1	1	16002	16002	1	7	1	6	L0_S1_M1A
0	0	1	2	16002	16002	1	9	1	8	L0_S1_M2A
0	0	1	3	16002	16002	1	B	1	A	L0_S1_M3A
0	0	1	4	16002	16002	1	D	1	C	L0_S1_M4A
0	0	1	5	16002	16002	1	F	1	E	L0_S1_M5A
0	0	1	6	16002	16002	2	1	2	0	L0_S1_M6A
0	0	1	7	16002	16002	2	3	2	2	L0_S1_M7A
0	0	1	8	16002	16002	2	5	2	4	L0_S1_M8A
0	0	1	9	16002	16002	2	7	2	6	L0_S1_M9A
0	0	1	10	16002	16002	2	9	2	8	L0_S1_M10A
0	0	1	11	16002	16002	2	B	2	A	L0_S1_M11A
0	0	2	-11	16003	16003	0	0	0	1	L0_S2_M11C
0	0	2	-10	16003	16003	0	2	0	3	L0_S2_M10C
0	0	2	-9	16003	16003	0	4	0	5	L0_S2_M9C
0	0	2	-8	16003	16003	0	6	0	7	L0_S2_M8C
0	0	2	-7	16003	16003	0	8	0	9	L0_S2_M7C
0	0	2	-6	16003	16003	0	A	0	B	L0_S2_M6C
0	0	2	-5	16003	16003	0	C	0	D	L0_S2_M5C
0	0	2	-4	16003	16003	0	E	0	F	L0_S2_M4C
